vds_id,Freeway,Direction,Lat,Lng
1117810,I5,S,32.717944,-117.147838
1117809,I5,N,32.717974,-117.147607
1117789,I5,S,32.712581,-117.147751
1117796,I5,N,32.712585,-117.147532
1117774,I5,S,32.7062,-117.147722
1117782,I5,N,32.706202,-117.147449
1114268,I5,S,32.69574,-117.135196
1114219,I5,N,32.695918,-117.134988
1117755,I5,S,32.694358,-117.129467
1117762,I5,N,32.694578,-117.129462
1126864,I5,N,32.694337,-117.124759
1118076,I5,S,32.688779,-117.116159
1125469,I5,N,32.688971,-117.115919
1114254,I5,S,32.685989,-117.113063
1114205,I5,N,32.686187,-117.11275
1118479,I5,N,32.676926,-117.109213
1118465,I5,S,32.671747,-117.111237
1118458,I5,N,32.671696,-117.110938
1114240,I5,S,32.65888,-117.10767
1114190,I5,N,32.658963,-117.107386
